x1,x2,Value,Energy,Timestamp
0,0,55.602112642270264,0,1
-5,0,308.12909601160663,-5,1
1,0,35.778175704962486,1,1
-5,7,116.50605764688672,2,1
5,15,201.1854310753664,20,1
-3,4,63.494852710630305,1,1
2,7,19.446312900765644,9,1
0,15,100.60211264227026,15,1
3,10,58.43633743684997,13,1
0,2,35.602112642270264,2,1
-5,8,97.13133788049815,3,252
2,0,17.117261347097866,2,476
3,0,6.196583227629295,3,684
-5,1,274.7543762452181,-4,900
4,1,4.214697085398731,5,1146
2,1,11.449982997621836,3,1386
5,1,12.79766714749939,6,1638
6,1,19.22993420793768,7,1868
7,1,17.27484908961749,8,2096
-3,0,142.9933237110518,-3,2305
-4,1,184.1731557538966,-3,2547
0,1,44.602112642270264,1,2780
-2,0,100.09094705558034,-2,3003
8,1,8.889559514112008,9,3264
4,11,90.19960863284119,15,3469
6,12,138.00032784720685,18,3663
-1,0,74.79777617506396,-1,3870
4,2,3.8131882401429777,6,4123
5,5,26.622742555461393,10,4344
6,8,66.81109379656351,14,4549
3,2,0.6445340694734334,5,4772
3,3,0.8685094903955033,6,4989
4,3,5.411679394887225,7,5230
-5,2,243.3796564788296,-3,5475
-4,2,158.3068560139376,-2,5718
4,4,9.010170549631468,8,5948
4,9,57.00262632335269,13,5979
8,7,38.464601859754396,15,6196
5,3,15.710204851480391,8,6467
5,2,13.25393599948989,7,6701
-3,1,120.11870596094641,-2,6907
-2,2,65.29159946192502,0,7123
-4,5,92.70795679406056,1,7339
3,4,3.092484911317573,7,7575
6,2,20.027242720598515,8,7788
-3,12,0.4979107097873232,9,8003
-3,11,1.3725284598926972,8,8213
-3,13,1.6232929596819492,10,8427
-3,14,4.748675209576579,11,8656
-3,10,4.247146209998071,7,8888
0,12,55.602112642270264,12,9136
7,13,156.7341707306805,20,9336
-2,13,16.895187696820756,11,9568
-5,3,214.004936712441,-2,9803
7,3,20.518069363127985,10,10034
-1,14,54.61722585330179,13,10257
-3,6,35.74561721041957,3,10516
7,2,17.896459226372738,9,10730
5,14,174.7291622233759,19,10922
-2,14,24.495513899993096,12,11161
1,13,86.79966367111179,14,11386
3,1,2.4205586485513635,4,11601
-3,15,9.874057459471206,12,11859
-2,15,34.095840103165436,13,12069
-2,12,11.294861493648417,10,12329
3,15,159.5562145414603,18,12547
2,3,6.115426298669772,5,12766
7,4,25.139679499883233,11,13039
-5,4,186.63021694605243,-1,13279
-2,10,6.094209087303737,8,13528
-1,7,15.707501014182881,6,13577
-2,11,7.694535290476077,9,13818
-4,15,4.044959394470453,11,14069
-4,0,212.0394554938556,-4,14312
5,9,72.4478179634234,14,14559
-1,15,68.17575797317592,14,14801
8,12,118.11047048112304,20,15048
2,14,119.77536445443339,16,15343
-4,14,3.9112591344294643,10,15567
-4,12,9.643858614347486,8,15826
